case,iterations_WARMSTART,iterations_FLATSTART
case7_tplgy,0.0,11.0
case9,14.0,14.0
case3_oltc_pst,0.0,15.0
case5_db,0.0,20.0
case5_dc,0.0,26.0
case5_ext,23.0,23.0
case14,11.0,11.0
case5_sw_nb,,
frankenstein_00,12.0,12.0
case5_asym,21.0,21.0
case5_pwlc,0.0,24.0
case5_gap,27.0,27.0
case5_npg,27.0,27.0
case5_tnep,0.0,59.0
case5_uc,22.0,22.0
case30,18.0,18.0
case24,31.0,31.0
case5_clm,17.0,17.0
case2,,
case3,0.0,13.0
case5_uc_strg,,
case5_strg,,
case3_tnep,21.0,21.0
case5,23.0,23.0
case5_sw,,
case6,14.0,14.0
