case,time_WARMSTART [s],time_FLATSTART [s]
case7_tplgy,1.1220619678497314,4.2637150287628165
case9,3.1414279937744136,4.236613035202026
case3_oltc_pst,1.1175780296325684,4.229224920272826
case5_db,1.1008141040802002,4.315043926239014
case5_dc,1.111943006515503,4.251439094543457
case5_ext,3.2408218383789062,4.654412984848023
case14,3.2782268524169917,4.2403650283813485
case5_sw_nb,,
frankenstein_00,3.2194509506225586,4.240001916885377
case5_asym,3.19336199760437,4.260793924331665
case5_pwlc,1.0699670314788818,4.304050922393799
case5_gap,3.2736129760742188,4.2408931255340585
case5_npg,3.2374761104583736,4.475260019302368
case5_tnep,1.1062350273132324,4.3689610958099365
case5_uc,3.17434310913086,4.403998136520387
case30,3.279762983322144,4.348726034164429
case24,3.2478020191192627,4.371157884597778
case5_clm,3.0954840183258057,4.202984094619752
case2,,
case3,1.1067039966583252,4.233736038208009
case5_uc_strg,,
case5_strg,,
case3_tnep,3.1866228580474854,4.264682054519653
case5,3.2234139442443848,4.205185890197754
case5_sw,,
case6,3.1681571006774902,4.336822032928467
