case,iterations_WARMSTART [s],iterations_FLATSTART [s]
pglib_opf_case500_tamu,45,45
pglib_opf_case3375wp_k,63,63
pglib_opf_case6515_rte,134,134
pglib_opf_case118_ieee,29,29
pglib_opf_case30_as,11,11
pglib_opf_case1888_rte,78,78
pglib_opf_case4661_sdet,56,56
pglib_opf_case10000_tamu,157,157
pglib_opf_case2868_rte,86,86
pglib_opf_case3012wp_k,62,62
pglib_opf_case162_ieee_dtc,27,27
pglib_opf_case1951_rte,140,140
pglib_opf_case73_ieee_rts,24,24
pglib_opf_case5_pjm,21,21
pglib_opf_case240_pserc,168,168
pglib_opf_case89_pegase,31,31
pglib_opf_case2316_sdet,48,48
pglib_opf_case2737sop_k,34,34
pglib_opf_case200_tamu,20,20
pglib_opf_case588_sdet,35,35
pglib_opf_case2848_rte,92,92
pglib_opf_case2869_pegase,59,59
pglib_opf_case2000_tamu,58,58
pglib_opf_case9241_pegase,73,73
pglib_opf_case1354_pegase,49,49
pglib_opf_case30_ieee,18,18
pglib_opf_case300_ieee,33,33
pglib_opf_case3_lmbd,14,14
pglib_opf_case39_epri,26,26
pglib_opf_case179_goc,45,45
pglib_opf_case2383wp_k,60,60
pglib_opf_case3120sp_k,58,58
pglib_opf_case2853_sdet,56,56
pglib_opf_case6470_rte,91,91
pglib_opf_case30_fsr,13,13
pglib_opf_case2746wop_k,36,36
pglib_opf_case24_ieee_rts,19,19
pglib_opf_case2746wp_k,41,41
pglib_opf_case13659_pegase,66,66
pglib_opf_case14_ieee,15,15
pglib_opf_case2736sp_k,41,41
pglib_opf_case6495_rte,180,180
pglib_opf_case6468_rte,144,144
pglib_opf_case57_ieee,15,15
