case,iterations_CONVEX,iterations_EXACT
pglib_opf_case500_tamu,32,45
pglib_opf_case3375wp_k,47,63
pglib_opf_case6515_rte,44,134
pglib_opf_case118_ieee,19,29
pglib_opf_case30_as,10,11
pglib_opf_case1888_rte,29,78
pglib_opf_case4661_sdet,38,56
pglib_opf_case10000_tamu,26,157
pglib_opf_case2868_rte,32,86
pglib_opf_case3012wp_k,48,62
pglib_opf_case162_ieee_dtc,30,27
pglib_opf_case1951_rte,32,140
pglib_opf_case73_ieee_rts,17,24
pglib_opf_case5_pjm,16,21
pglib_opf_case240_pserc,58,168
pglib_opf_case89_pegase,21,31
pglib_opf_case2316_sdet,36,48
pglib_opf_case2737sop_k,14,34
pglib_opf_case200_tamu,9,20
pglib_opf_case588_sdet,24,35
pglib_opf_case2848_rte,30,92
pglib_opf_case2869_pegase,35,59
pglib_opf_case2000_tamu,23,58
pglib_opf_case9241_pegase,38,73
pglib_opf_case1354_pegase,35,49
pglib_opf_case30_ieee,8,18
pglib_opf_case300_ieee,35,33
pglib_opf_case3_lmbd,8,14
pglib_opf_case39_epri,18,26
pglib_opf_case179_goc,19,45
pglib_opf_case2383wp_k,56,60
pglib_opf_case3120sp_k,38,58
pglib_opf_case2853_sdet,34,56
pglib_opf_case6470_rte,43,91
pglib_opf_case30_fsr,6,13
pglib_opf_case2746wop_k,11,36
pglib_opf_case24_ieee_rts,16,19
pglib_opf_case2746wp_k,18,41
pglib_opf_case13659_pegase,38,66
pglib_opf_case14_ieee,8,15
pglib_opf_case2736sp_k,18,41
pglib_opf_case6495_rte,56,180
pglib_opf_case6468_rte,34,144
pglib_opf_case57_ieee,11,15
