case,iterations_CONVEX,iterations_EXACT
pglib_opf_case500_tamu,32,8
pglib_opf_case3375wp_k,35,11
pglib_opf_case6515_rte,1639,13
pglib_opf_case118_ieee,13,8
pglib_opf_case30_as,6,7
pglib_opf_case1888_rte,60,10
pglib_opf_case4661_sdet,33,13
pglib_opf_case10000_tamu,188,11
pglib_opf_case2868_rte,68,12
pglib_opf_case3012wp_k,36,11
pglib_opf_case162_ieee_dtc,23,8
pglib_opf_case1951_rte,67,11
pglib_opf_case73_ieee_rts,9,7
pglib_opf_case5_pjm,9,6
pglib_opf_case240_pserc,27,11
pglib_opf_case89_pegase,18,6
pglib_opf_case2316_sdet,29,11
pglib_opf_case2737sop_k,20,6
pglib_opf_case200_tamu,12,6
pglib_opf_case588_sdet,22,8
pglib_opf_case2848_rte,315,9
pglib_opf_case2869_pegase,37,11
pglib_opf_case2000_tamu,26,10
pglib_opf_case9241_pegase,132,13
pglib_opf_case1354_pegase,32,12
pglib_opf_case30_ieee,11,5
pglib_opf_case300_ieee,16,10
pglib_opf_case3_lmbd,10,5
pglib_opf_case39_epri,16,7
pglib_opf_case179_goc,17,9
pglib_opf_case2383wp_k,35,11
pglib_opf_case3120sp_k,28,11
pglib_opf_case2853_sdet,32,15
pglib_opf_case6470_rte,116,10
pglib_opf_case30_fsr,8,6
pglib_opf_case2746wop_k,21,6
pglib_opf_case24_ieee_rts,8,7
pglib_opf_case2746wp_k,28,9
pglib_opf_case13659_pegase,89,17
pglib_opf_case14_ieee,7,5
pglib_opf_case2736sp_k,27,8
pglib_opf_case6495_rte,154,13
pglib_opf_case6468_rte,69,10
pglib_opf_case57_ieee,8,8
