case,time_ipopt,time_knitro
case7_tplgy,4.0629491806030265,0.0
case3_oltc_pst,4.0826988220214835,4.36998987197876
case5_db,4.041489124298097,4.277517080307007
case5_dc,3.936508893966675,4.2699809074401855
case5_ext,4.100403785705566,4.306305885314941
case14,4.002152919769287,4.251824140548706
case5_sw_nb,0.0,0.0
case5_asym,3.9729819297790527,4.2811808586120605
case5_pwlc,4.102614879608153,4.335063934326172
case5_gap,3.9895420074462886,4.3570499420166025
case5_npg,4.064733028411865,4.298836946487427
case5_tnep,4.0970492362976065,4.3673880100250235
case5_uc,4.053178787231444,4.341794967651366
case30,4.086146831512451,4.372899055480957
case24,4.108435153961182,4.470004081726074
case5_clm,4.0876197814941415,4.2737178802490225
case2,0.0,0.0
case3,4.051652908325194,4.3146700859069815
case5_uc_strg,0.0,0.0
case5_strg,0.0,0.0
case3_tnep,0.0,4.228758811950684
case5,4.08156681060791,4.283958911895752
case5_sw,0.0,0.0
case6,4.079483985900879,0.0
