case,iterations_ipopt,iterations_knitro
case7_tplgy,20.0,9.0
case9,31.0,16.0
case3_oltc_pst,21.0,13.0
case5_db,31.0,13.0
case5_dc,31.0,14.0
case5_ext,31.0,14.0
case14,28.0,15.0
case5_sw_nb,,
frankenstein_00,22.0,9.0
case5_asym,34.0,17.0
case5_pwlc,29.0,18.0
case5_gap,53.0,10.0
case5_npg,31.0,17.0
case5_tnep,101.0,160.0
case5_uc,34.0,14.0
case30,31.0,20.0
case24,48.0,34.0
case5_clm,32.0,12.0
case2,,
case3,23.0,12.0
case5_uc_strg,,
case5_strg,,
case3_tnep,28.0,0.0
case5,31.0,14.0
case5_sw,,
case6,19.0,11.0
