case,iterations_ipopt,iterations_knitro
case7_tplgy,12.0,20.0
case9,10.0,31.0
case3_oltc_pst,9.0,21.0
case5_db,13.0,31.0
case5_dc,14.0,31.0
case5_ext,14.0,31.0
case14,13.0,28.0
case5_sw_nb,,
frankenstein_00,16.0,22.0
case5_asym,14.0,34.0
case5_pwlc,14.0,29.0
case5_gap,10.0,53.0
case5_npg,18.0,31.0
case5_tnep,82.0,101.0
case5_uc,14.0,34.0
case30,28.0,31.0
case24,17.0,48.0
case5_clm,13.0,32.0
case2,,
case3,9.0,23.0
case5_uc_strg,,
case5_strg,,
case3_tnep,0.0,28.0
case5,14.0,31.0
case5_sw,,
case6,9.0,19.0
