case,iterations_ipopt,iterations_knitro
case7_tplgy,6.0,11.0
case9,8.0,14.0
case3_oltc_pst,10.0,15.0
case5_db,8.0,20.0
case5_dc,9.0,26.0
case5_ext,12.0,23.0
case14,7.0,11.0
case5_sw_nb,,
frankenstein_00,7.0,12.0
case5_asym,13.0,21.0
case5_pwlc,12.0,24.0
case5_gap,21.0,27.0
case5_npg,14.0,27.0
case5_tnep,76.0,59.0
case5_uc,11.0,22.0
case30,12.0,18.0
case24,19.0,31.0
case5_clm,8.0,17.0
case2,,
case3,9.0,13.0
case5_uc_strg,,
case5_strg,,
case3_tnep,0.0,21.0
case5,12.0,23.0
case5_sw,,
case6,10.0,14.0
