case,iterations_ipopt,iterations_knitro
pglib_opf_case500_tamu,32,45
pglib_opf_case3375wp_k,35,63
pglib_opf_case6515_rte,1639,134
pglib_opf_case118_ieee,13,29
pglib_opf_case30_as,6,11
pglib_opf_case1888_rte,60,78
pglib_opf_case4661_sdet,33,56
pglib_opf_case10000_tamu,188,157
pglib_opf_case2868_rte,68,86
pglib_opf_case3012wp_k,36,62
pglib_opf_case162_ieee_dtc,23,27
pglib_opf_case1951_rte,67,140
pglib_opf_case73_ieee_rts,9,24
pglib_opf_case5_pjm,9,21
pglib_opf_case240_pserc,27,168
pglib_opf_case89_pegase,18,31
pglib_opf_case2316_sdet,29,48
pglib_opf_case2737sop_k,20,34
pglib_opf_case200_tamu,12,20
pglib_opf_case588_sdet,22,35
pglib_opf_case2848_rte,315,92
pglib_opf_case2869_pegase,37,59
pglib_opf_case2000_tamu,26,58
pglib_opf_case9241_pegase,132,73
pglib_opf_case1354_pegase,32,49
pglib_opf_case30_ieee,11,18
pglib_opf_case300_ieee,16,33
pglib_opf_case3_lmbd,10,14
pglib_opf_case39_epri,16,26
pglib_opf_case179_goc,17,45
pglib_opf_case2383wp_k,35,60
pglib_opf_case3120sp_k,28,58
pglib_opf_case2853_sdet,32,56
pglib_opf_case6470_rte,116,91
pglib_opf_case30_fsr,8,13
pglib_opf_case2746wop_k,21,36
pglib_opf_case24_ieee_rts,8,19
pglib_opf_case2746wp_k,28,41
pglib_opf_case13659_pegase,89,66
pglib_opf_case14_ieee,7,15
pglib_opf_case2736sp_k,27,41
pglib_opf_case6495_rte,154,180
pglib_opf_case6468_rte,69,144
pglib_opf_case57_ieee,8,15
