case,iterations_ipopt,iterations_knitro
pglib_opf_case500_tamu,33,50
pglib_opf_case3375wp_k,44,66
pglib_opf_case6515_rte,101,147
pglib_opf_case118_ieee,13,30
pglib_opf_case30_as,6,12
pglib_opf_case1888_rte,119,279
pglib_opf_case4661_sdet,37,63
pglib_opf_case10000_tamu,69,149
pglib_opf_case2868_rte,171,99
pglib_opf_case3012wp_k,38,67
pglib_opf_case162_ieee_dtc,24,28
pglib_opf_case1951_rte,69,91
pglib_opf_case73_ieee_rts,10,25
pglib_opf_case5_pjm,12,22
pglib_opf_case240_pserc,30,162
pglib_opf_case89_pegase,19,30
pglib_opf_case2316_sdet,31,51
pglib_opf_case2737sop_k,23,35
pglib_opf_case200_tamu,12,21
pglib_opf_case588_sdet,22,36
pglib_opf_case2848_rte,187,95
pglib_opf_case2869_pegase,49,62
pglib_opf_case2000_tamu,27,59
pglib_opf_case9241_pegase,83,74
pglib_opf_case1354_pegase,40,52
pglib_opf_case30_ieee,10,17
pglib_opf_case300_ieee,25,39
pglib_opf_case3_lmbd,11,17
pglib_opf_case39_epri,16,28
pglib_opf_case179_goc,39,46
pglib_opf_case2383wp_k,41,65
pglib_opf_case3120sp_k,32,63
pglib_opf_case2853_sdet,37,59
pglib_opf_case6470_rte,87,100
pglib_opf_case30_fsr,11,16
pglib_opf_case2746wop_k,22,36
pglib_opf_case24_ieee_rts,9,20
pglib_opf_case2746wp_k,31,43
pglib_opf_case13659_pegase,351,98
pglib_opf_case14_ieee,6,15
pglib_opf_case2736sp_k,28,45
pglib_opf_case6495_rte,194,202
pglib_opf_case6468_rte,167,176
pglib_opf_case57_ieee,9,17
