case,iterations_ipopt,iterations_knitro
pglib_opf_case500_tamu,32,55
pglib_opf_case3375wp_k,51,308
pglib_opf_case6515_rte,138,731
pglib_opf_case118_ieee,15,30
pglib_opf_case30_as,7,17
pglib_opf_case1888_rte,125,649
pglib_opf_case4661_sdet,46,163
pglib_opf_case10000_tamu,41,847
pglib_opf_case2868_rte,51,119
pglib_opf_case3012wp_k,56,151
pglib_opf_case162_ieee_dtc,24,40
pglib_opf_case1951_rte,79,663
pglib_opf_case73_ieee_rts,12,28
pglib_opf_case5_pjm,14,22
pglib_opf_case240_pserc,31,165
pglib_opf_case89_pegase,19,34
pglib_opf_case2316_sdet,38,56
pglib_opf_case2737sop_k,35,342
pglib_opf_case200_tamu,13,25
pglib_opf_case588_sdet,24,42
pglib_opf_case2848_rte,53,148
pglib_opf_case2869_pegase,43,74
pglib_opf_case2000_tamu,28,48
pglib_opf_case9241_pegase,10000,1288
pglib_opf_case1354_pegase,40,59
pglib_opf_case30_ieee,12,20
pglib_opf_case300_ieee,20,44
pglib_opf_case3_lmbd,9,16
pglib_opf_case39_epri,18,36
pglib_opf_case179_goc,23,31
pglib_opf_case2383wp_k,131,669
pglib_opf_case3120sp_k,58,211
pglib_opf_case2853_sdet,40,204
pglib_opf_case6470_rte,83,471
pglib_opf_case30_fsr,9,18
pglib_opf_case2746wop_k,33,256
pglib_opf_case24_ieee_rts,10,23
pglib_opf_case2746wp_k,34,196
pglib_opf_case13659_pegase,2088,1085
pglib_opf_case14_ieee,9,18
pglib_opf_case2736sp_k,37,314
pglib_opf_case6495_rte,241,732
pglib_opf_case6468_rte,91,509
pglib_opf_case57_ieee,7,16
