case,objective_val_CONVEX,objective_val_EXACT,GAP
pglib_opf_case500_tamu,70784.44315242801,72578.29627409183,2.4716109550013936
pglib_opf_case3375wp_k,7317011.709742535,7438169.412912087,1.6288645289421786
pglib_opf_case6515_rte,2559328.968569038,2825499.6411900725,9.420304598195811
pglib_opf_case118_ieee,93100.72959703779,97213.60693895932,4.230763029401857
pglib_opf_case30_as,767.602099459817,803.1273103852988,4.423359841721551
pglib_opf_case1888_rte,1352871.7386805306,1402530.8246576057,3.5406769750816873
pglib_opf_case4661_sdet,2216303.4158070455,2251344.0653348463,1.5564324470586453
pglib_opf_case10000_tamu,2436631.2214902663,2485898.7453267328,1.9818797498926704
pglib_opf_case2868_rte,1966683.7128984304,2009605.3046873952,2.1358219790150033
pglib_opf_case3012wp_k,2509001.4182562847,2600842.7211516183,3.53121325439731
pglib_opf_case162_ieee_dtc,101462.24878138801,108075.64369843062,6.119227876630856
pglib_opf_case1951_rte,2031627.896539459,2085581.836066966,2.586996999803873
pglib_opf_case73_ieee_rts,183003.71651112652,189764.07716737347,3.56250811911269
pglib_opf_case5_pjm,17479.89676981383,17551.890838594758,0.4101784214759423
pglib_opf_case240_pserc,3271437.3825530107,3329670.0559725636,1.7489022167556378
pglib_opf_case89_pegase,105044.27339295222,107285.67306998387,2.0891882512304787
pglib_opf_case2316_sdet,1750128.8404658625,1775325.5489904704,1.419272568850023
pglib_opf_case2737sop_k,764008.5890241255,777727.6837668838,1.763997222821051
pglib_opf_case200_tamu,27479.642890833617,27557.570465648263,0.2827810053567193
pglib_opf_case588_sdet,310125.5186630734,313139.77996787464,0.9625929050312452
pglib_opf_case2848_rte,1267731.6499708488,1286608.1912726546,1.467155380313096
pglib_opf_case2869_pegase,2386379.348796744,2462790.4324824605,3.1026222401187113
pglib_opf_case2000_tamu,1201419.182515786,1228487.0556799385,2.2033502949016475
pglib_opf_case9241_pegase,6028744.837067529,6243090.38361942,3.4333244175719457
pglib_opf_case1354_pegase,1218182.0241339656,1258843.985100558,3.2301032890381802
pglib_opf_case30_ieee,7472.814614376574,8208.515427944496,8.962653722539805
pglib_opf_case300_ieee,517851.0715120689,565219.9718651028,8.380613338330349
pglib_opf_case3_lmbd,5695.895884301141,5812.64293503618,2.008502019474407
pglib_opf_case39_epri,136889.69146491855,138415.56252877228,1.1023840354198244
pglib_opf_case179_goc,751881.0115358183,754266.4141684101,0.31625465323439095
pglib_opf_case2383wp_k,1804090.333158248,1868191.583534949,3.4311925469340774
pglib_opf_case3120sp_k,2087974.8391792644,2147969.0748362467,2.7930679431013705
pglib_opf_case2853_sdet,2036957.8456208382,2052386.7185135654,0.7517527156822306
pglib_opf_case6470_rte,2136095.3467093115,2237570.5802159267,4.535062911705912
pglib_opf_case30_fsr,565.2059663999221,575.7688799851345,1.834575287480826
pglib_opf_case2746wop_k,1178163.979892794,1208258.5006475786,2.490735280459861
pglib_opf_case24_ieee_rts,61001.23883704176,63352.201086064124,3.710940123183052
pglib_opf_case2746wp_k,1581425.0445730563,1631707.930248201,3.0816106695942835
pglib_opf_case13659_pegase,8769893.115550067,8948048.917265538,1.9910016514517896
pglib_opf_case14_ieee,2051.5262937097687,2178.0804108196426,5.8103510082187375
pglib_opf_case2736sp_k,1276033.6695093706,1308014.9931456265,2.445027297381699
pglib_opf_case6495_rte,2561787.123943806,3067825.3014820092,16.495012844888706
pglib_opf_case6468_rte,1982818.371161724,2069730.1452960009,4.199183856494842
pglib_opf_case57_ieee,34772.94785147004,37589.338204193205,7.492524442500001
