case,objective_val_CONVEX,objective_val_EXACT,GAP
pglib_opf_case500_tamu,72578.2979800385,70784.466235826,-2.5342166715450754
pglib_opf_case3375wp_k,7438169.48087319,7317011.77449645,-1.6558358809676474
pglib_opf_case6515_rte,2825499.77366879,2559329.01728831,-10.400021043894391
pglib_opf_case118_ieee,97213.6055414926,93100.75418769631,-4.417634840534749
pglib_opf_case30_as,803.1274305994419,767.602099531077,-4.628091961977063
pglib_opf_case1888_rte,1402530.92058565,1352871.80560395,-3.670644533798316
pglib_opf_case4661_sdet,2251344.08651834,2216303.43540161,-1.5810403285496013
pglib_opf_case10000_tamu,2485898.75132523,2436631.22614695,-2.021952466569471
pglib_opf_case2868_rte,2009605.32868134,1966683.73609784,-2.1824349180139246
pglib_opf_case3012wp_k,2600842.75458938,2509002.49640048,-3.6604291275380536
pglib_opf_case162_ieee_dtc,108075.64575894401,101462.253750231,-6.51808112304814
pglib_opf_case1951_rte,2085581.85750515,2031627.91642042,-2.655699926578725
pglib_opf_case73_ieee_rts,189764.07677964802,183003.721713637,-3.694107968246448
pglib_opf_case5_pjm,17551.8905283353,17479.8970538329,-0.4118644079005823
pglib_opf_case240_pserc,3329670.09195147,3271437.4082067003,-1.7800335595199688
pglib_opf_case89_pegase,107285.674334225,105044.274236105,-2.1337670372038198
pglib_opf_case2316_sdet,1775325.55994661,1750130.3090551998,-1.4396214248190236
pglib_opf_case2737sop_k,777727.683956522,764008.6037605171,-1.795670903243554
pglib_opf_case200_tamu,27557.5708559929,27479.6433226646,-0.28358276857264536
pglib_opf_case588_sdet,313139.782522261,310125.523059418,-0.9719482076505829
pglib_opf_case2848_rte,1286608.20954387,1267732.31531124,-1.4889495207034953
pglib_opf_case2869_pegase,2462790.45315096,2386380.1981221,-3.201931322133382
pglib_opf_case2000_tamu,1228487.05738421,1201419.18400187,-2.2529916071573086
pglib_opf_case9241_pegase,6243111.08355727,6028788.72798751,-3.5549820244124404
pglib_opf_case1354_pegase,1258843.9967602,1218182.16720227,-3.3379104252786633
pglib_opf_case30_ieee,8208.51535459416,7472.814677764059,-9.845027724549832
pglib_opf_case300_ieee,565219.99088046,517851.08468309604,-9.147206136751038
pglib_opf_case3_lmbd,5812.642973084399,5695.89778352724,-2.0496363171191567
pglib_opf_case39_epri,138415.563130907,136889.692494025,-1.1146716813237054
pglib_opf_case179_goc,754266.419187534,751881.0201964009,-0.3172575084432893
pglib_opf_case2383wp_k,1868191.63173103,1804091.67063612,-3.553032372923073
pglib_opf_case3120sp_k,2147969.90773116,2087974.86983059,-2.873360152339278
pglib_opf_case2853_sdet,2052386.73515783,2036957.92121564,-0.7574439207355956
pglib_opf_case6470_rte,2237570.6142078997,2136096.53205211,-4.750444590549725
pglib_opf_case30_fsr,575.768879763075,565.205966403646,-1.8688609086418253
pglib_opf_case2746wop_k,1208258.5025257,1178163.9963047,-2.554356296355281
pglib_opf_case24_ieee_rts,63352.1943100059,61001.240312157,-3.853944585091286
pglib_opf_case2746wp_k,1631707.93455492,1581425.08407495,-3.179591052799241
pglib_opf_case13659_pegase,8948050.697245501,8769895.34820883,-2.0314421320096803
pglib_opf_case14_ieee,2178.08038975669,2051.5263088527,-6.168776893471293
pglib_opf_case2736sp_k,1308014.9984843,1276033.6726678999,-2.5063073570413192
pglib_opf_case6495_rte,3067825.7978577004,2561787.62900087,-19.753322372557154
pglib_opf_case6468_rte,2069730.1689746997,1982820.05534341,-4.383156877855842
pglib_opf_case57_ieee,37589.3382878116,34772.9478967022,-8.09937195855777
