case,objective_val
pglib_opf_case500_tamu,72578.29627409182
pglib_opf_case3375wp_k,7438169.412912086
pglib_opf_case6515_rte,2825499.6411900725
pglib_opf_case118_ieee,97213.60693895932
pglib_opf_case30_as,803.1273103852988
pglib_opf_case1888_rte,1402530.8246576057
pglib_opf_case4661_sdet,2251344.0653348463
pglib_opf_case10000_tamu,2485898.7453267328
pglib_opf_case2868_rte,2009605.3046873952
pglib_opf_case3012wp_k,2600842.7211516183
pglib_opf_case162_ieee_dtc,108075.64369843062
pglib_opf_case1951_rte,2085581.836066966
pglib_opf_case73_ieee_rts,189764.07716737347
pglib_opf_case5_pjm,17551.89083859476
pglib_opf_case240_pserc,3329670.0559725636
pglib_opf_case89_pegase,107285.67306998387
pglib_opf_case2316_sdet,1775325.5489904704
pglib_opf_case2737sop_k,777727.6837668837
pglib_opf_case200_tamu,27557.570465648263
pglib_opf_case588_sdet,313139.7799678746
pglib_opf_case2848_rte,1286608.1912726546
pglib_opf_case2869_pegase,2462790.4324824605
pglib_opf_case2000_tamu,1228487.0556799383
pglib_opf_case9241_pegase,6243090.38361942
pglib_opf_case1354_pegase,1258843.985100558
pglib_opf_case30_ieee,8208.515427944496
pglib_opf_case300_ieee,565219.9718651028
pglib_opf_case3_lmbd,5812.64293503618
pglib_opf_case39_epri,138415.56252877228
pglib_opf_case179_goc,754266.4141684101
pglib_opf_case2383wp_k,1868191.583534949
pglib_opf_case3120sp_k,2147969.0748362467
pglib_opf_case2853_sdet,2052386.7185135654
pglib_opf_case6470_rte,2237570.580215927
pglib_opf_case30_fsr,575.7688799851345
pglib_opf_case2746wop_k,1208258.5006475786
pglib_opf_case24_ieee_rts,63352.20108606412
pglib_opf_case2746wp_k,1631707.930248201
pglib_opf_case13659_pegase,8948048.917265538
pglib_opf_case14_ieee,2178.0804108196426
pglib_opf_case2736sp_k,1308014.9931456263
pglib_opf_case6495_rte,3067825.3014820097
pglib_opf_case6468_rte,2069730.1452960009
pglib_opf_case57_ieee,37589.338204193205
