case,objective_val
pglib_opf_case500_tamu,70784.44315242801
pglib_opf_case3375wp_k,7317011.709742535
pglib_opf_case6515_rte,2559328.968569038
pglib_opf_case118_ieee,93100.7295970378
pglib_opf_case30_as,767.602099459817
pglib_opf_case1888_rte,1352871.7386805303
pglib_opf_case4661_sdet,2216303.4158070455
pglib_opf_case10000_tamu,2436631.2214902663
pglib_opf_case2868_rte,1966683.7128984306
pglib_opf_case3012wp_k,2509001.4182562847
pglib_opf_case162_ieee_dtc,101462.24878138801
pglib_opf_case1951_rte,2031627.8965394592
pglib_opf_case73_ieee_rts,183003.71651112655
pglib_opf_case5_pjm,17479.89676981383
pglib_opf_case240_pserc,3271437.3825530107
pglib_opf_case89_pegase,105044.27339295222
pglib_opf_case2316_sdet,1750128.8404658623
pglib_opf_case2737sop_k,764008.5890241254
pglib_opf_case200_tamu,27479.642890833617
pglib_opf_case588_sdet,310125.5186630734
pglib_opf_case2848_rte,1267731.6499708488
pglib_opf_case2869_pegase,2386379.348796744
pglib_opf_case2000_tamu,1201419.182515786
pglib_opf_case9241_pegase,6028744.837067529
pglib_opf_case1354_pegase,1218182.0241339656
pglib_opf_case30_ieee,7472.814614376575
pglib_opf_case300_ieee,517851.0715120689
pglib_opf_case3_lmbd,5695.8958843011405
pglib_opf_case39_epri,136889.69146491855
pglib_opf_case179_goc,751881.0115358183
pglib_opf_case2383wp_k,1804090.333158248
pglib_opf_case3120sp_k,2087974.8391792644
pglib_opf_case2853_sdet,2036957.845620838
pglib_opf_case6470_rte,2136095.3467093115
pglib_opf_case30_fsr,565.2059663999221
pglib_opf_case2746wop_k,1178163.979892794
pglib_opf_case24_ieee_rts,61001.23883704176
pglib_opf_case2746wp_k,1581425.0445730563
pglib_opf_case13659_pegase,8769893.115550067
pglib_opf_case14_ieee,2051.5262937097687
pglib_opf_case2736sp_k,1276033.6695093706
pglib_opf_case6495_rte,2561787.1239438066
pglib_opf_case6468_rte,1982818.3711617237
pglib_opf_case57_ieee,34772.94785147004
