case,objective_val
pglib_opf_case500_tamu,70784.466235826
pglib_opf_case3375wp_k,7317011.77449645
pglib_opf_case6515_rte,2559329.01728831
pglib_opf_case118_ieee,93100.7541876963
pglib_opf_case30_as,767.602099531077
pglib_opf_case1888_rte,1352871.80560395
pglib_opf_case4661_sdet,2216303.43540161
pglib_opf_case10000_tamu,2436631.22614695
pglib_opf_case2868_rte,1966683.73609784
pglib_opf_case3012wp_k,2509002.49640048
pglib_opf_case162_ieee_dtc,101462.253750231
pglib_opf_case1951_rte,2031627.91642042
pglib_opf_case73_ieee_rts,183003.721713637
pglib_opf_case5_pjm,17479.8970538329
pglib_opf_case240_pserc,3271437.4082067
pglib_opf_case89_pegase,105044.274236105
pglib_opf_case2316_sdet,1750130.3090552
pglib_opf_case2737sop_k,764008.603760517
pglib_opf_case200_tamu,27479.6433226646
pglib_opf_case588_sdet,310125.523059418
pglib_opf_case2848_rte,1267732.31531124
pglib_opf_case2869_pegase,2386380.1981221
pglib_opf_case2000_tamu,1201419.18400187
pglib_opf_case9241_pegase,6028788.72798751
pglib_opf_case1354_pegase,1218182.16720227
pglib_opf_case30_ieee,7472.81467776406
pglib_opf_case300_ieee,517851.084683096
pglib_opf_case3_lmbd,5695.89778352724
pglib_opf_case39_epri,136889.692494025
pglib_opf_case179_goc,751881.020196401
pglib_opf_case2383wp_k,1804091.67063612
pglib_opf_case3120sp_k,2087974.86983059
pglib_opf_case2853_sdet,2036957.92121564
pglib_opf_case6470_rte,2136096.53205211
pglib_opf_case30_fsr,565.205966403646
pglib_opf_case2746wop_k,1178163.9963047
pglib_opf_case24_ieee_rts,61001.240312157
pglib_opf_case2746wp_k,1581425.08407495
pglib_opf_case13659_pegase,8769895.34820883
pglib_opf_case14_ieee,2051.5263088527
pglib_opf_case2736sp_k,1276033.6726679
pglib_opf_case6495_rte,2561787.62900087
pglib_opf_case6468_rte,1982820.05534341
pglib_opf_case57_ieee,34772.9478967022
