case,iterations,time
pglib_opf_case500_tamu,45,5.683692932128906
pglib_opf_case3375wp_k,63,26.992433071136475
pglib_opf_case6515_rte,134,124.48899602890015
pglib_opf_case118_ieee,29,3.635510206222534
pglib_opf_case30_as,11,3.2788009643554688
pglib_opf_case1888_rte,78,21.704676866531372
pglib_opf_case4661_sdet,56,43.80156898498535
pglib_opf_case10000_tamu,157,226.75781297683716
pglib_opf_case2868_rte,86,36.02887511253357
pglib_opf_case3012wp_k,62,23.050026178359985
pglib_opf_case162_ieee_dtc,27,3.794309139251709
pglib_opf_case1951_rte,140,41.016271114349365
pglib_opf_case73_ieee_rts,24,3.47873592376709
pglib_opf_case5_pjm,21,3.215090036392212
pglib_opf_case240_pserc,168,11.136423110961914
pglib_opf_case89_pegase,31,3.746757984161377
pglib_opf_case2316_sdet,48,17.526345014572144
pglib_opf_case2737sop_k,34,14.010956048965454
pglib_opf_case200_tamu,20,3.65767502784729
pglib_opf_case588_sdet,35,5.285154104232788
pglib_opf_case2848_rte,92,38.13433384895325
pglib_opf_case2869_pegase,59,32.334320068359375
pglib_opf_case2000_tamu,58,26.10515594482422
pglib_opf_case9241_pegase,73,123.73095488548279
pglib_opf_case1354_pegase,49,12.326133012771606
pglib_opf_case30_ieee,18,3.256937026977539
pglib_opf_case300_ieee,33,4.379462957382202
pglib_opf_case3_lmbd,14,3.1196749210357666
pglib_opf_case39_epri,26,3.3348631858825684
pglib_opf_case179_goc,45,4.0774829387664795
pglib_opf_case2383wp_k,60,19.47902202606201
pglib_opf_case3120sp_k,58,23.053647994995117
pglib_opf_case2853_sdet,56,23.113529205322266
pglib_opf_case6470_rte,91,84.9037401676178
pglib_opf_case30_fsr,13,3.232595920562744
pglib_opf_case2746wop_k,36,14.957167863845825
pglib_opf_case24_ieee_rts,19,3.2714850902557373
pglib_opf_case2746wp_k,41,16.20692801475525
pglib_opf_case13659_pegase,66,150.98937392234802
pglib_opf_case14_ieee,15,3.248744010925293
pglib_opf_case2736sp_k,41,15.882081985473633
pglib_opf_case6495_rte,180,164.7049059867859
pglib_opf_case6468_rte,144,142.20568084716797
pglib_opf_case57_ieee,15,3.3341119289398193
