case,iterations,time
case7_tplgy,0,1.1220619678497314
case9,14,3.141427993774414
case3_oltc_pst,0,1.1175780296325684
case5_db,0,1.1008141040802002
case5_dc,0,1.111943006515503
case5_ext,23,3.2408218383789062
case14,11,3.278226852416992
case5_sw_nb,,
frankenstein_00,12,3.2194509506225586
case5_asym,21,3.19336199760437
case5_pwlc,0,1.0699670314788818
case5_gap,27,3.2736129760742188
case5_npg,27,3.237476110458374
case5_tnep,0,1.1062350273132324
case5_uc,22,3.1743431091308594
case30,18,3.2797629833221436
case24,31,3.2478020191192627
case5_clm,17,3.0954840183258057
case2,,
case3,0,1.1067039966583252
case5_uc_strg,,
case5_strg,,
case3_tnep,21,3.1866228580474854
case5,23,3.2234139442443848
case5_sw,,
case6,14,3.1681571006774902
