case,iterations,time
cases/matpower/case7_tplgy.m,11,4.458454132080078
,14,4.432490110397339
cases/matpower/case3_oltc_pst.m,15,4.331930875778198
cases/matpower/case5_db.m,20,4.7349982261657715
cases/matpower/case5_dc.m,26,4.43929386138916
cases/matpower/case5_ext.m,23,4.476222038269043
cases/matpower/case14.m,11,4.4299211502075195
cases/matpower/case5_sw_nb.m,0,0.0
cases/matpower/frankenstein_00.m,12,4.428006887435913
cases/matpower/case5_asym.m,21,4.3757500648498535
cases/matpower/case5_pwlc.m,24,4.431267976760864
cases/matpower/case5_gap.m,27,4.441584825515747
cases/matpower/case5_npg.m,27,4.420165061950684
cases/matpower/case5_tnep.m,59,4.5052170753479
cases/matpower/case5_uc.m,22,4.4492270946502686
cases/matpower/case30.m,18,4.466279983520508
cases/matpower/case24.m,31,4.53154993057251
cases/matpower/case5_clm.m,17,4.372457981109619
cases/matpower/case2.m,0,0.0
cases/matpower/case3.m,13,4.420730113983154
cases/matpower/case5_uc_strg.m,0,0.0
cases/matpower/case5_strg.m,0,0.0
cases/matpower/case3_tnep.m,21,4.432492017745972
cases/matpower/case5.m,23,4.359499931335449
cases/matpower/case5_sw.m,0,0.0
cases/matpower/case6.m,14,4.405454158782959
