case,iterations,time
case7_tplgy,11,4.184010028839111
case9,14,4.245596885681152
case3_oltc_pst,15,4.21063494682312
case5_db,20,4.263778924942017
case5_dc,26,4.279371023178101
case5_ext,23,4.2163331508636475
case14,11,4.289759874343872
case5_sw_nb,0,0.0
frankenstein_00,12,4.234921932220459
case5_asym,21,4.278308868408203
case5_pwlc,24,4.189558982849121
case5_gap,27,4.297620058059692
case5_npg,27,4.31478214263916
case5_tnep,59,4.278883934020996
case5_uc,22,4.261782884597778
case30,18,4.33954381942749
case24,31,4.313212156295776
case5_clm,17,4.20618200302124
case2,0,0.0
case3,13,4.228698015213013
case5_uc_strg,0,0.0
case5_strg,0,0.0
case3_tnep,21,4.2883429527282715
case5,23,4.273248910903931
case5_sw,0,0.0
case6,14,4.1959898471832275
