case,iterations,time
case7_tplgy,11,4.265551805496216
case9,14,4.305426120758057
case3_oltc_pst,15,4.368695020675659
case5_db,20,4.243884086608887
case5_dc,26,4.35263991355896
case5_ext,23,4.21558690071106
case14,11,4.241848945617676
case5_sw_nb,0,0.0
frankenstein_00,12,4.19917106628418
case5_asym,21,4.295112133026123
case5_pwlc,24,4.321596145629883
case5_gap,27,4.314809083938599
case5_npg,27,4.235566139221191
case5_tnep,59,4.313277959823608
case5_uc,22,4.241682052612305
case30,18,4.318092107772827
case24,31,4.373669862747192
case5_clm,17,4.134268045425415
case2,0,0.0
case3,13,4.27665901184082
case5_uc_strg,0,0.0
case5_strg,0,0.0
case3_tnep,21,4.250245094299316
case5,23,4.2531561851501465
case5_sw,0,0.0
case6,14,4.279309034347534
