case,iterations,time
case7_tplgy,11,4.263715028762817
case9,14,4.236613035202026
case3_oltc_pst,15,4.229224920272827
case5_db,20,4.315043926239014
case5_dc,26,4.251439094543457
case5_ext,23,4.6544129848480225
case14,11,4.240365028381348
case5_sw_nb,,
frankenstein_00,12,4.240001916885376
case5_asym,21,4.260793924331665
case5_pwlc,24,4.304050922393799
case5_gap,27,4.240893125534058
case5_npg,27,4.475260019302368
case5_tnep,59,4.3689610958099365
case5_uc,22,4.403998136520386
case30,18,4.348726034164429
case24,31,4.371157884597778
case5_clm,17,4.202984094619751
case2,,
case3,13,4.233736038208008
case5_uc_strg,,
case5_strg,,
case3_tnep,21,4.264682054519653
case5,23,4.205185890197754
case5_sw,,
case6,14,4.336822032928467
