case,iterations,time
case7_tplgy,5,1.103621006011963
case9,9,1.1411020755767822
case3_oltc_pst,9,1.1247642040252686
case5_db,18,1.149393081665039
case5_dc,18,1.133565902709961
case5_ext,14,1.1179590225219727
case14,9,1.1136448383331299
case5_sw_nb,,
frankenstein_00,6,1.1660950183868408
case5_asym,16,1.1055619716644287
case5_pwlc,18,1.2123959064483643
case5_gap,20,1.1710150241851807
case5_npg,18,1.1265981197357178
case5_tnep,25,1.1815071105957031
case5_uc,15,1.2017021179199219
case30,8,1.1194109916687012
case24,39,1.224303960800171
case5_clm,15,1.098926067352295
case2,,
case3,9,1.1915349960327148
case5_uc_strg,,
case5_strg,,
case3_tnep,13,1.132627010345459
case5,14,1.1100311279296875
case5_sw,,
case6,8,1.1146790981292725
