case,iterations,time
case7_tplgy,20,1.295078992843628
case9,31,1.2938621044158936
case3_oltc_pst,21,1.221081018447876
case5_db,31,1.3110530376434326
case5_dc,31,1.3600199222564697
case5_ext,31,1.325584888458252
case14,28,1.3752260208129883
case5_sw_nb,,
frankenstein_00,22,1.2935888767242432
case5_asym,34,1.465641975402832
case5_pwlc,29,1.2945330142974854
case5_gap,53,1.4528908729553223
case5_npg,31,1.2841880321502686
case5_tnep,101,1.4994080066680908
case5_uc,34,1.3095591068267822
case30,31,1.5435681343078613
case24,48,1.6685960292816162
case5_clm,32,1.3271398544311523
case2,,
case3,23,1.2221031188964844
case5_uc_strg,,
case5_strg,,
case3_tnep,28,1.2807800769805908
case5,31,1.3243038654327393
case5_sw,,
case6,19,1.2381620407104492
