case,iterations,time
case7_tplgy,20,1.250213861465454
case9,31,1.2999320030212402
case3_oltc_pst,21,1.2721199989318848
case5_db,31,1.3378369808197021
case5_dc,31,1.3245558738708496
case5_ext,31,1.2747068405151367
case14,28,1.3702940940856934
case5_sw_nb,,
frankenstein_00,22,1.2307031154632568
case5_asym,34,1.3558287620544434
case5_pwlc,29,1.315338134765625
case5_gap,53,1.34031081199646
case5_npg,31,1.2913751602172852
case5_tnep,101,1.5176160335540771
case5_uc,34,1.319572925567627
case30,31,1.526550054550171
case24,48,1.714000940322876
case5_clm,32,1.2651360034942627
case2,,
case3,23,1.2357041835784912
case5_uc_strg,,
case5_strg,,
case3_tnep,28,1.262840986251831
case5,31,1.3497982025146484
case5_sw,,
case6,19,1.2739169597625732
