case,iterations,time
case7_tplgy,6,4.062949180603027
case9,8,4.111163139343262
case3_oltc_pst,10,4.082698822021484
case5_db,8,4.041489124298096
case5_dc,9,3.936508893966675
case5_ext,12,4.100403785705566
case14,7,4.002152919769287
case5_sw_nb,,
frankenstein_00,7,3.9919700622558594
case5_asym,13,3.9729819297790527
case5_pwlc,12,4.102614879608154
case5_gap,21,3.989542007446289
case5_npg,14,4.064733028411865
case5_tnep,76,4.097049236297607
case5_uc,11,4.053178787231445
case30,12,4.086146831512451
case24,19,4.108435153961182
case5_clm,8,4.087619781494141
case2,,
case3,9,4.051652908325195
case5_uc_strg,,
case5_strg,,
case3_tnep,0,0.0
case5,12,4.08156681060791
case5_sw,,
case6,10,4.079483985900879
