case,iterations,time
case7_tplgy,2,0.004922000225633383
case9,5,0.005253999959677458
case3_oltc_pst,6,0.004997999873012304
case5_db,6,0.005104999989271164
case5_dc,6,0.004891000222414732
case5_ext,6,0.005342999938875437
case14,6,0.008561999537050724
case5_sw_nb,,
frankenstein_00,2,0.004982999991625547
case5_asym,6,0.005324000027030706
case5_pwlc,7,0.0055069997906684875
case5_gap,6,0.0049760001711547375
case5_npg,7,0.005125999916344881
case5_tnep,0,0.0
case5_uc,6,0.005249000154435635
case30,5,0.006779000163078308
case24,33,0.01775999926030636
case5_clm,6,0.005059999879449606
case2,,
case3,6,0.0052559999749064445
case5_uc_strg,,
case5_strg,,
case3_tnep,0,0.0
case5,6,0.005065999925136566
case5_sw,,
case6,5,0.004482999909669161
