case,iterations,time
case7_tplgy,9,0.008069000206887722
case9,16,0.015456000342965126
case3_oltc_pst,13,0.00837200041860342
case5_db,13,0.011152000166475773
case5_dc,14,0.012582999654114246
case5_ext,14,0.012481000274419785
case14,15,0.022815000265836716
case5_sw_nb,0,0.0
frankenstein_00,9,0.007619000039994717
case5_asym,17,0.01360000018030405
case5_pwlc,18,0.0145650003105402
case5_gap,10,0.01039899978786707
case5_npg,17,0.01361900009214878
case5_tnep,160,0.06146499887108803
case5_uc,14,0.01244799979031086
case30,20,0.05834000185132027
case24,34,0.08123300224542618
case5_clm,12,0.011241000145673752
case2,0,0.0
case3,12,0.009336999617516994
case5_uc_strg,0,0.0
case5_strg,0,0.0
case3_tnep,0,0.0
case5,14,0.012342999689280987
case5_sw,0,0.0
case6,11,0.01016599964350462
