case,iterations,time
case7_tplgy,12,0.006326999980956316
case9,10,0.008359000086784363
case3_oltc_pst,9,0.006647000089287758
case5_db,13,0.007732999976724386
case5_dc,14,0.009228000417351723
case5_ext,14,0.008945000357925892
case14,13,0.012129000388085842
case5_sw_nb,,
frankenstein_00,16,0.007015000097453594
case5_asym,14,0.008980000391602516
case5_pwlc,14,0.009317000396549702
case5_gap,10,0.00775599991902709
case5_npg,18,0.009340000338852406
case5_tnep,82,0.022450000047683716
case5_uc,14,0.008654999546706676
case30,28,0.03813600167632103
case24,17,0.024351000785827637
case5_clm,13,0.008427999913692474
case2,,
case3,9,0.006819999776780605
case5_uc_strg,,
case5_strg,,
case3_tnep,0,0.0
case5,14,0.009026999585330486
case5_sw,,
case6,9,0.007207000162452459
