case,iterations,time
pglib_opf_case500_tamu,45,6.711249828338623
pglib_opf_case3375wp_k,63,28.6614191532135
pglib_opf_case6515_rte,134,123.15439105033875
pglib_opf_case118_ieee,29,4.728399991989136
pglib_opf_case30_as,11,4.302472114562988
pglib_opf_case1888_rte,78,22.969132900238037
pglib_opf_case4661_sdet,56,46.513720989227295
pglib_opf_case10000_tamu,157,233.54279088974
pglib_opf_case2868_rte,86,36.88900399208069
pglib_opf_case3012wp_k,62,24.81505298614502
pglib_opf_case162_ieee_dtc,27,4.875218152999878
pglib_opf_case1951_rte,140,43.24255990982056
pglib_opf_case73_ieee_rts,24,4.538516044616699
pglib_opf_case5_pjm,21,4.220927000045776
pglib_opf_case240_pserc,168,12.255239009857178
pglib_opf_case89_pegase,31,4.726109027862549
pglib_opf_case2316_sdet,48,18.61202883720398
pglib_opf_case2737sop_k,34,14.906554937362671
pglib_opf_case200_tamu,20,4.625885009765625
pglib_opf_case588_sdet,35,6.373172998428345
pglib_opf_case2848_rte,92,40.305318117141724
pglib_opf_case2869_pegase,59,34.17336106300354
pglib_opf_case2000_tamu,58,27.64988112449646
pglib_opf_case9241_pegase,73,123.17909789085388
pglib_opf_case1354_pegase,49,13.768916845321655
pglib_opf_case30_ieee,18,4.26868200302124
pglib_opf_case300_ieee,33,5.366795063018799
pglib_opf_case3_lmbd,14,4.259135961532593
pglib_opf_case39_epri,26,4.4225897789001465
pglib_opf_case179_goc,45,5.968013048171997
pglib_opf_case2383wp_k,60,20.192039012908936
pglib_opf_case3120sp_k,58,24.327259063720703
pglib_opf_case2853_sdet,56,24.45933198928833
pglib_opf_case6470_rte,91,84.04880404472351
pglib_opf_case30_fsr,13,4.341356039047241
pglib_opf_case2746wop_k,36,16.115280151367188
pglib_opf_case24_ieee_rts,19,4.253852844238281
pglib_opf_case2746wp_k,41,17.374081134796143
pglib_opf_case13659_pegase,66,151.85125017166138
pglib_opf_case14_ieee,15,4.264389991760254
pglib_opf_case2736sp_k,41,17.14039921760559
pglib_opf_case6495_rte,180,164.19011998176575
pglib_opf_case6468_rte,144,142.4092378616333
pglib_opf_case57_ieee,15,4.325567960739136
