case,iterations,time
pglib_opf_case500_tamu,50,3.6704421043395996
pglib_opf_case3375wp_k,66,25.6869158744812
pglib_opf_case6515_rte,147,127.2414140701294
pglib_opf_case118_ieee,30,1.5568561553955078
pglib_opf_case30_as,12,1.2128300666809082
pglib_opf_case1888_rte,279,85.59784197807312
pglib_opf_case4661_sdet,63,39.86119103431702
pglib_opf_case10000_tamu,149,200.43348288536072
pglib_opf_case2868_rte,99,36.51406812667847
pglib_opf_case3012wp_k,67,22.21162509918213
pglib_opf_case162_ieee_dtc,28,1.7776100635528564
pglib_opf_case1951_rte,91,22.74125909805298
pglib_opf_case73_ieee_rts,25,1.4091250896453857
pglib_opf_case5_pjm,22,1.164781093597412
pglib_opf_case240_pserc,162,7.320434093475342
pglib_opf_case89_pegase,30,1.5990171432495117
pglib_opf_case2316_sdet,51,16.66837501525879
pglib_opf_case2737sop_k,35,12.613976001739502
pglib_opf_case200_tamu,21,1.5481879711151123
pglib_opf_case588_sdet,36,3.153269052505493
pglib_opf_case2848_rte,95,33.51958608627319
pglib_opf_case2869_pegase,62,29.274553060531616
pglib_opf_case2000_tamu,59,21.240152835845947
pglib_opf_case9241_pegase,74,122.01377892494202
pglib_opf_case1354_pegase,52,10.278252124786377
pglib_opf_case30_ieee,17,1.1975030899047852
pglib_opf_case300_ieee,39,2.427525043487549
pglib_opf_case3_lmbd,17,1.1245670318603516
pglib_opf_case39_epri,28,1.2701618671417236
pglib_opf_case179_goc,46,2.049367904663086
pglib_opf_case2383wp_k,65,17.240609884262085
pglib_opf_case3120sp_k,63,22.10167121887207
pglib_opf_case2853_sdet,59,19.69429612159729
pglib_opf_case6470_rte,100,83.34666895866394
pglib_opf_case30_fsr,16,1.226789951324463
pglib_opf_case2746wop_k,36,12.852519989013672
pglib_opf_case24_ieee_rts,20,1.1848959922790527
pglib_opf_case2746wp_k,43,14.683101892471313
pglib_opf_case13659_pegase,98,243.71583795547485
pglib_opf_case14_ieee,15,1.1520090103149414
pglib_opf_case2736sp_k,45,14.55859088897705
pglib_opf_case6495_rte,202,166.9897849559784
pglib_opf_case6468_rte,176,153.63428401947021
pglib_opf_case57_ieee,17,1.2548720836639404
