case,iterations,time
pglib_opf_case500_tamu,55,6.938570976257324
pglib_opf_case3375wp_k,308,176.8401370048523
pglib_opf_case6515_rte,731,694.5689101219177
pglib_opf_case118_ieee,30,4.7439048290252686
pglib_opf_case30_as,17,4.286624908447266
pglib_opf_case1888_rte,649,163.97888088226318
pglib_opf_case4661_sdet,163,176.79715776443481
pglib_opf_case10000_tamu,847,1555.3835818767548
pglib_opf_case2868_rte,119,47.21711492538452
pglib_opf_case3012wp_k,151,62.508999824523926
pglib_opf_case162_ieee_dtc,40,5.194092035293579
pglib_opf_case1951_rte,663,176.23049998283386
pglib_opf_case73_ieee_rts,28,4.581331014633179
pglib_opf_case5_pjm,22,4.3500940799713135
pglib_opf_case240_pserc,165,10.502271890640259
pglib_opf_case89_pegase,34,4.85699200630188
pglib_opf_case2316_sdet,56,21.539340019226074
pglib_opf_case2737sop_k,342,122.45363998413086
pglib_opf_case200_tamu,25,5.233784914016724
pglib_opf_case588_sdet,42,6.642213821411133
pglib_opf_case2848_rte,148,53.93445110321045
pglib_opf_case2869_pegase,74,43.43354511260986
pglib_opf_case2000_tamu,48,20.76783323287964
pglib_opf_case9241_pegase,1288,2113.8529391288757
pglib_opf_case1354_pegase,59,14.403519868850708
pglib_opf_case30_ieee,20,4.321089029312134
pglib_opf_case300_ieee,44,5.810309886932373
pglib_opf_case3_lmbd,16,4.287867069244385
pglib_opf_case39_epri,36,4.471004009246826
pglib_opf_case179_goc,31,4.871701955795288
pglib_opf_case2383wp_k,669,202.00758481025696
pglib_opf_case3120sp_k,211,90.20187187194824
pglib_opf_case2853_sdet,204,102.7772331237793
pglib_opf_case6470_rte,471,479.6269118785858
pglib_opf_case30_fsr,18,4.300328969955444
pglib_opf_case2746wop_k,256,91.50552201271057
pglib_opf_case24_ieee_rts,23,4.3287200927734375
pglib_opf_case2746wp_k,196,89.29423594474792
pglib_opf_case13659_pegase,1085,2836.653230905533
pglib_opf_case14_ieee,18,4.250596046447754
pglib_opf_case2736sp_k,314,103.0289261341095
pglib_opf_case6495_rte,732,713.5566189289093
pglib_opf_case6468_rte,509,458.29258608818054
pglib_opf_case57_ieee,16,4.389096021652222
