case,iterations,time
pglib_opf_case500_tamu,32,1.6552081108093262
pglib_opf_case3375wp_k,47,5.79606819152832
pglib_opf_case6515_rte,44,10.216408014297485
pglib_opf_case118_ieee,19,1.1817231178283691
pglib_opf_case30_as,10,1.1806511878967285
pglib_opf_case1888_rte,29,2.8456850051879883
pglib_opf_case4661_sdet,38,6.7080888748168945
pglib_opf_case10000_tamu,26,9.74587106704712
pglib_opf_case2868_rte,32,3.8791019916534424
pglib_opf_case3012wp_k,48,5.300086975097656
pglib_opf_case162_ieee_dtc,30,1.3921680450439453
pglib_opf_case1951_rte,32,3.003408908843994
pglib_opf_case73_ieee_rts,17,1.2190959453582764
pglib_opf_case5_pjm,16,1.1142289638519287
pglib_opf_case240_pserc,58,1.6449649333953857
pglib_opf_case89_pegase,21,1.2473301887512207
pglib_opf_case2316_sdet,36,3.7355079650878906
pglib_opf_case2737sop_k,14,2.345850944519043
pglib_opf_case200_tamu,9,1.195781946182251
pglib_opf_case588_sdet,24,1.5326240062713623
pglib_opf_case2848_rte,30,3.7911269664764404
pglib_opf_case2869_pegase,35,4.655586004257202
pglib_opf_case2000_tamu,23,2.8141748905181885
pglib_opf_case9241_pegase,38,15.787913084030151
pglib_opf_case1354_pegase,35,2.6921029090881348
pglib_opf_case30_ieee,8,1.14851713180542
pglib_opf_case300_ieee,35,1.465372085571289
pglib_opf_case3_lmbd,8,1.13240385055542
pglib_opf_case39_epri,18,1.1538519859313965
pglib_opf_case179_goc,19,1.2250988483428955
pglib_opf_case2383wp_k,56,5.146892070770264
pglib_opf_case3120sp_k,38,4.815802097320557
pglib_opf_case2853_sdet,34,4.260036945343018
pglib_opf_case6470_rte,43,10.342089891433716
pglib_opf_case30_fsr,6,1.1052720546722412
pglib_opf_case2746wop_k,11,2.0753729343414307
pglib_opf_case24_ieee_rts,16,1.19303297996521
pglib_opf_case2746wp_k,18,2.653859853744507
pglib_opf_case13659_pegase,38,20.885789155960083
pglib_opf_case14_ieee,8,1.1856400966644287
pglib_opf_case2736sp_k,18,2.694809913635254
pglib_opf_case6495_rte,56,12.550666093826294
pglib_opf_case6468_rte,34,8.519285917282104
pglib_opf_case57_ieee,11,1.1181361675262451
