case,iterations,time
pglib_opf_case500_tamu,32,5.280928134918213
pglib_opf_case3375wp_k,35,13.941216468811035
pglib_opf_case6515_rte,1639,1529.502197265625
pglib_opf_case118_ieee,13,4.147875785827637
pglib_opf_case30_as,6,4.0985870361328125
pglib_opf_case1888_rte,60,16.143552780151367
pglib_opf_case4661_sdet,33,20.94843292236328
pglib_opf_case10000_tamu,188,170.49990844726562
pglib_opf_case2868_rte,68,24.08441925048828
pglib_opf_case3012wp_k,36,14.251766204833984
pglib_opf_case162_ieee_dtc,23,4.374341011047363
pglib_opf_case1951_rte,67,17.497005462646484
pglib_opf_case73_ieee_rts,9,4.16278076171875
pglib_opf_case5_pjm,9,3.9954850673675537
pglib_opf_case240_pserc,27,4.656650066375732
pglib_opf_case89_pegase,18,4.234595775604248
pglib_opf_case2316_sdet,29,10.504838943481445
pglib_opf_case2737sop_k,20,8.828943252563477
pglib_opf_case200_tamu,12,4.228978157043457
pglib_opf_case588_sdet,22,5.021195888519287
pglib_opf_case2848_rte,315,107.28545379638672
pglib_opf_case2869_pegase,37,15.882965087890625
pglib_opf_case2000_tamu,26,9.613750457763672
pglib_opf_case9241_pegase,132,200.43458557128906
pglib_opf_case1354_pegase,32,9.476882934570312
pglib_opf_case30_ieee,11,4.104273796081543
pglib_opf_case300_ieee,16,4.406067848205566
pglib_opf_case3_lmbd,10,4.072947025299072
pglib_opf_case39_epri,16,4.104922771453857
pglib_opf_case179_goc,17,4.255837917327881
pglib_opf_case2383wp_k,35,11.640142440795898
pglib_opf_case3120sp_k,28,13.242086410522461
pglib_opf_case2853_sdet,32,14.836981773376465
pglib_opf_case6470_rte,116,85.44248962402344
pglib_opf_case30_fsr,8,4.047214031219482
pglib_opf_case2746wop_k,21,9.240748405456543
pglib_opf_case24_ieee_rts,8,4.110202789306641
pglib_opf_case2746wp_k,28,12.318093299865723
pglib_opf_case13659_pegase,89,154.46902465820312
pglib_opf_case14_ieee,7,3.988318920135498
pglib_opf_case2736sp_k,27,10.382601737976074
pglib_opf_case6495_rte,154,115.42186737060547
pglib_opf_case6468_rte,69,52.953330993652344
pglib_opf_case57_ieee,8,4.242854118347168
