case,iterations,time
pglib_opf_case500_tamu,33,0.5695189833641052
pglib_opf_case3375wp_k,44,7.073231220245361
pglib_opf_case6515_rte,101,39.5446662902832
pglib_opf_case118_ieee,13,0.08029100298881531
pglib_opf_case30_as,6,0.013856999576091766
pglib_opf_case1888_rte,119,14.69856071472168
pglib_opf_case4661_sdet,37,9.210307121276855
pglib_opf_case10000_tamu,69,46.93405532836914
pglib_opf_case2868_rte,171,30.070545196533203
pglib_opf_case3012wp_k,38,4.416112899780273
pglib_opf_case162_ieee_dtc,24,0.21786099672317505
pglib_opf_case1951_rte,69,7.2397780418396
pglib_opf_case73_ieee_rts,10,0.04499199986457825
pglib_opf_case5_pjm,12,0.0071229999884963036
pglib_opf_case240_pserc,30,0.41382500529289246
pglib_opf_case89_pegase,19,0.1185460016131401
pglib_opf_case2316_sdet,31,3.035521984100342
pglib_opf_case2737sop_k,23,2.5375730991363525
pglib_opf_case200_tamu,12,0.09840399771928787
pglib_opf_case588_sdet,22,0.4591110050678253
pglib_opf_case2848_rte,187,34.795249938964844
pglib_opf_case2869_pegase,49,8.297304153442383
pglib_opf_case2000_tamu,27,3.1236090660095215
pglib_opf_case9241_pegase,83,58.71631622314453
pglib_opf_case1354_pegase,40,2.7433478832244873
pglib_opf_case30_ieee,10,0.018108999356627464
pglib_opf_case300_ieee,25,0.3414750099182129
pglib_opf_case3_lmbd,11,0.005934000015258789
pglib_opf_case39_epri,16,0.025520000606775284
pglib_opf_case179_goc,39,0.3541019856929779
pglib_opf_case2383wp_k,41,3.857079029083252
pglib_opf_case3120sp_k,32,3.878441095352173
pglib_opf_case2853_sdet,37,4.459971904754639
pglib_opf_case6470_rte,87,33.97173309326172
pglib_opf_case30_fsr,11,0.019610000774264336
pglib_opf_case2746wop_k,22,2.506643056869507
pglib_opf_case24_ieee_rts,9,0.01667100004851818
pglib_opf_case2746wp_k,31,3.3487629890441895
pglib_opf_case13659_pegase,351,478.3509521484375
pglib_opf_case14_ieee,6,0.008569000288844109
pglib_opf_case2736sp_k,28,3.0110421180725098
pglib_opf_case6495_rte,194,81.49943542480469
pglib_opf_case6468_rte,167,67.15768432617188
pglib_opf_case57_ieee,9,0.02834000065922737
