case,iterations,time
pglib_opf_case500_tamu,32,4.704520225524902
pglib_opf_case3375wp_k,51,11.643946647644043
pglib_opf_case6515_rte,138,66.49756622314453
pglib_opf_case118_ieee,15,4.179259777069092
pglib_opf_case30_as,7,4.091885089874268
pglib_opf_case1888_rte,125,20.562978744506836
pglib_opf_case4661_sdet,46,14.570635795593262
pglib_opf_case10000_tamu,41,23.71286964416504
pglib_opf_case2868_rte,51,11.797567367553711
pglib_opf_case3012wp_k,56,12.327864646911621
pglib_opf_case162_ieee_dtc,24,4.18389892578125
pglib_opf_case1951_rte,79,12.796717643737793
pglib_opf_case73_ieee_rts,12,4.036795139312744
pglib_opf_case5_pjm,14,3.9950759410858154
pglib_opf_case240_pserc,31,4.417795181274414
pglib_opf_case89_pegase,19,4.141058921813965
pglib_opf_case2316_sdet,38,8.368260383605957
pglib_opf_case2737sop_k,35,8.185212135314941
pglib_opf_case200_tamu,13,4.214913845062256
pglib_opf_case588_sdet,24,4.797659873962402
pglib_opf_case2848_rte,53,11.971386909484863
pglib_opf_case2869_pegase,43,11.682092666625977
pglib_opf_case2000_tamu,28,7.479452133178711
pglib_opf_case9241_pegase,10000,16340.4482421875
pglib_opf_case1354_pegase,40,6.898644924163818
pglib_opf_case30_ieee,12,4.031918048858643
pglib_opf_case300_ieee,20,4.256552219390869
pglib_opf_case3_lmbd,9,3.9516661167144775
pglib_opf_case39_epri,18,3.983776092529297
pglib_opf_case179_goc,23,4.279084205627441
pglib_opf_case2383wp_k,131,17.138212203979492
pglib_opf_case3120sp_k,58,12.382928848266602
pglib_opf_case2853_sdet,40,10.139508247375488
pglib_opf_case6470_rte,83,34.58620834350586
pglib_opf_case30_fsr,9,3.9891879558563232
pglib_opf_case2746wop_k,33,8.604701042175293
pglib_opf_case24_ieee_rts,10,3.980470895767212
pglib_opf_case2746wp_k,34,8.12355899810791
pglib_opf_case13659_pegase,2088,2174.912841796875
pglib_opf_case14_ieee,9,4.052708148956299
pglib_opf_case2736sp_k,37,9.350072860717773
pglib_opf_case6495_rte,241,108.6689453125
pglib_opf_case6468_rte,91,46.58733367919922
pglib_opf_case57_ieee,7,3.9994969367980957
