case,iterations,time
pglib_opf_case500_tamu,8,0.040681999176740646
pglib_opf_case3375wp_k,11,0.4947899878025055
pglib_opf_case6515_rte,13,0.9899629950523376
pglib_opf_case118_ieee,8,0.01871900074183941
pglib_opf_case30_as,7,0.007067000027745962
pglib_opf_case1888_rte,10,0.2069139927625656
pglib_opf_case4661_sdet,13,0.7499189972877502
pglib_opf_case10000_tamu,11,1.2738430500030518
pglib_opf_case2868_rte,12,0.36857500672340393
pglib_opf_case3012wp_k,11,0.4251070022583008
pglib_opf_case162_ieee_dtc,8,0.022055000066757202
pglib_opf_case1951_rte,11,0.23173800110816956
pglib_opf_case73_ieee_rts,7,0.013152999803423882
pglib_opf_case5_pjm,6,0.004852000158280134
pglib_opf_case240_pserc,11,0.0439319983124733
pglib_opf_case89_pegase,6,0.01472499966621399
pglib_opf_case2316_sdet,11,0.30434298515319824
pglib_opf_case2737sop_k,6,0.213018998503685
pglib_opf_case200_tamu,6,0.01614299975335598
pglib_opf_case588_sdet,8,0.05340399965643883
pglib_opf_case2848_rte,9,0.30278199911117554
pglib_opf_case2869_pegase,11,0.44548499584198
pglib_opf_case2000_tamu,10,0.28197601437568665
pglib_opf_case9241_pegase,13,2.2472970485687256
pglib_opf_case1354_pegase,12,0.2257480025291443
pglib_opf_case30_ieee,5,0.006401000078767538
pglib_opf_case300_ieee,10,0.037376999855041504
pglib_opf_case3_lmbd,5,0.004999000113457441
pglib_opf_case39_epri,7,0.007302999962121248
pglib_opf_case179_goc,9,0.02265699952840805
pglib_opf_case2383wp_k,11,0.29427799582481384
pglib_opf_case3120sp_k,11,0.43479499220848083
pglib_opf_case2853_sdet,15,0.5786100029945374
pglib_opf_case6470_rte,10,0.8214730024337769
pglib_opf_case30_fsr,6,0.006864999886602163
pglib_opf_case2746wop_k,6,0.21988800168037415
pglib_opf_case24_ieee_rts,7,0.007548999972641468
pglib_opf_case2746wp_k,9,0.28234198689460754
pglib_opf_case13659_pegase,17,3.33992600440979
pglib_opf_case14_ieee,5,0.005415000021457672
pglib_opf_case2736sp_k,8,0.2568899989128113
pglib_opf_case6495_rte,13,1.0022599697113037
pglib_opf_case6468_rte,10,0.784313976764679
pglib_opf_case57_ieee,8,0.01014500018209219
