cases/pglib-opf/pglib_opf_case1354_pegase.m
ipopt
ACR
[info | PowerModels]: removing 1 cost terms from generator 1: [1025.8323, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 54: [1888.9404, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 101: [3470.2382, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 41: [3979.3039, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 65: [680.3769, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 168: [3218.4103, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 159: [1486.1628, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 228: [3711.068, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 190: [4718.2687000000005, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 227: [1999.2726, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 223: [1662.4602, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 88: [2386.504, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 26: [2525.4764999999998, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 250: [2940.1074000000003, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 77: [2409.4682, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 230: [2461.8848, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 24: [1678.295, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 258: [4222.2299, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 204: [2037.7738000000002, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 23: [2817.9452, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 160: [2967.0276000000003, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 149: [1737.8433999999997, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 59: [3889.4703999999997, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 184: [3258.3295, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 43: [2005.4935, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 122: [1853.867, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 253: [4603.9685, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 175: [3709.0733999999998, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 39: [2893.4071, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 143: [3794.3609, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 112: [712.2779, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 34: [3914.6988, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 137: [801.6700000000001, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 55: [3247.0152, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 17: [4548.034, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 243: [725.4581, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 9: [2639.2883, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 172: [2570.4435, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 12: [1982.9521, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 192: [1427.5729000000001, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 20: [3287.6654000000003, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 252: [4053.8048000000003, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 14: [986.0522, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 167: [1321.0681, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 127: [4235.6822, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 96: [751.7541, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 123: [3090.9880000000003, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 177: [468.79999999999995, 0.0]
