cases/pglib-opf/pglib_opf_case1951_rte.m
ipopt
ACR
[warn | PowerModels]: active generators found at bus 14, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 1985, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 876, updating to bus type from 1 to 2
[warn | PowerModels]: active generators found at bus 885, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 707, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 448, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 1945, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 241, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 1118, updating to bus type from 1 to 2
[warn | PowerModels]: active generators found at bus 82, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 2017, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1320, updating to bus type from 3 to 1
[warn | PowerModels]: no active generators found at bus 1872, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1900, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1871, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1982, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1756, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1946, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1983, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 396, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 1005, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 1984, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 355, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1771, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2045, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 858, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 1988, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2081, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1927, updating to bus type from 2 to 1
[warn | PowerModels]: no reference bus found, setting bus 1676 as reference based on generator 134
[warn | PowerModels]: the voltage setpoint on generator 306 does not match the value at bus 1755
[warn | PowerModels]: the voltage setpoint on generator 362 does not match the value at bus 1778
[warn | PowerModels]: the voltage setpoint on generator 289 does not match the value at bus 1745
[warn | PowerModels]: the voltage setpoint on generator 258 does not match the value at bus 1943
[warn | PowerModels]: the voltage setpoint on generator 204 does not match the value at bus 1717
[warn | PowerModels]: the voltage setpoint on generator 59 does not match the value at bus 1631
[warn | PowerModels]: the voltage setpoint on generator 43 does not match the value at bus 474
[warn | PowerModels]: the voltage setpoint on generator 122 does not match the value at bus 1668
[warn | PowerModels]: the voltage setpoint on generator 143 does not match the value at bus 1682
[warn | PowerModels]: the voltage setpoint on generator 9 does not match the value at bus 817
[warn | PowerModels]: the voltage setpoint on generator 350 does not match the value at bus 1995
[warn | PowerModels]: the voltage setpoint on generator 127 does not match the value at bus 1670
[warn | PowerModels]: the voltage setpoint on generator 96 does not match the value at bus 1650
[warn | PowerModels]: the voltage setpoint on generator 123 does not match the value at bus 1669
[warn | PowerModels]: the voltage setpoint on generator 386 does not match the value at bus 2010
[warn | PowerModels]: the voltage setpoint on generator 3 does not match the value at bus 1356
[warn | PowerModels]: the voltage setpoint on generator 309 does not match the value at bus 1757
[warn | PowerModels]: the voltage setpoint on generator 27 does not match the value at bus 885
[warn | PowerModels]: the voltage setpoint on generator 162 does not match the value at bus 1690
[warn | PowerModels]: the voltage setpoint on generator 120 does not match the value at bus 1667
[warn | PowerModels]: the voltage setpoint on generator 89 does not match the value at bus 1858
[warn | PowerModels]: the voltage setpoint on generator 275 does not match the value at bus 1736
[warn | PowerModels]: the voltage setpoint on generator 291 does not match the value at bus 1961
[warn | PowerModels]: the voltage setpoint on generator 57 does not match the value at bus 1844
[warn | PowerModels]: the voltage setpoint on generator 384 does not match the value at bus 1790
[warn | PowerModels]: the voltage setpoint on generator 233 does not match the value at bus 1923
[warn | PowerModels]: the voltage setpoint on generator 319 does not match the value at bus 1975
[warn | PowerModels]: the voltage setpoint on generator 385 does not match the value at bus 1791
[warn | PowerModels]: the voltage setpoint on generator 46 does not match the value at bus 471
[warn | PowerModels]: the voltage setpoint on generator 48 does not match the value at bus 1321
[warn | PowerModels]: the voltage setpoint on generator 32 does not match the value at bus 803
[warn | PowerModels]: the voltage setpoint on generator 287 does not match the value at bus 1743
[warn | PowerModels]: the voltage setpoint on generator 10 does not match the value at bus 817
[warn | PowerModels]: the voltage setpoint on generator 305 does not match the value at bus 1754
[warn | PowerModels]: the voltage setpoint on generator 49 does not match the value at bus 1829
[warn | PowerModels]: the voltage setpoint on generator 196 does not match the value at bus 1713
[warn | PowerModels]: the voltage setpoint on generator 234 does not match the value at bus 1924
[warn | PowerModels]: the voltage setpoint on generator 205 does not match the value at bus 1718
[warn | PowerModels]: the voltage setpoint on generator 71 does not match the value at bus 1633
[warn | PowerModels]: the voltage setpoint on generator 245 does not match the value at bus 1932
[warn | PowerModels]: the voltage setpoint on generator 98 does not match the value at bus 1652
[warn | PowerModels]: the voltage setpoint on generator 361 does not match the value at bus 1777
[warn | PowerModels]: the voltage setpoint on generator 354 does not match the value at bus 1776
[warn | PowerModels]: the voltage setpoint on generator 97 does not match the value at bus 1651
[warn | PowerModels]: the voltage setpoint on generator 369 does not match the value at bus 1781
[warn | PowerModels]: the voltage setpoint on generator 133 does not match the value at bus 1675
[warn | PowerModels]: the voltage setpoint on generator 38 does not match the value at bus 1118
[warn | PowerModels]: the voltage setpoint on generator 241 does not match the value at bus 1729
[warn | PowerModels]: the voltage setpoint on generator 132 does not match the value at bus 1674
[warn | PowerModels]: the voltage setpoint on generator 29 does not match the value at bus 876
[warn | PowerModels]: the voltage setpoint on generator 28 does not match the value at bus 885
[warn | PowerModels]: the voltage setpoint on generator 281 does not match the value at bus 1741
