cases/pglib-opf/pglib_opf_case10000_tamu.m
ipopt
DCP
[warn | PowerModels]: no active generators found at bus 20428, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 26067, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 10965, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 10890, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 11078, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 60691, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 28866, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 50364, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 26128, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 13628, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 30368, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 10796, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 41002, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 25896, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 26149, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 77197, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 28834, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 28953, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 40962, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 25952, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 40757, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 10853, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 20489, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 60808, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 77204, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 23345, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 74260, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 74288, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 20521, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 40990, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 70149, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 11081, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 29042, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 20500, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 53215, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 80097, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 10760, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 28721, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 60689, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 60764, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 13483, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 23502, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 30320, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 25941, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 40879, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 10969, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 28853, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 20545, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 29052, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 29084, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 30381, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 60814, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 25855, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 11017, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 30279, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 20304, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 20313, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 30297, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 26107, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 13494, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 26139, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 70168, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 29010, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 70181, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 60881, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 29076, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 74263, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 11043, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 26013, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 13478, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 23370, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 23396, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 28735, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 70097, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 25996, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 26102, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 40696, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 40800, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 13686, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 26203, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 13559, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 20440, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 41001, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 23294, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 40988, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 26051, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 10722, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 25978, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 20376, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 10714, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 20410, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 10773, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 26043, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 10993, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 26120, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 50361, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 20441, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 21670, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 70150, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 60629, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 26066, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 40929, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 60743, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 40728, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 11024, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 20359, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 13597, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 13669, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 23305, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 10909, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 23277, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 29013, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 60687, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 70184, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 40771, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 23469, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 30285, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 30451, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 21693, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 28897, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 70099, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 21707, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 23367, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 40799, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 25887, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 40773, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 21736, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 10818, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 28982, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 20345, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 77216, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 10686, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 13630, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 21654, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 28938, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 74200, updating to bus type from 2 to 1
