cases/pglib-opf/pglib_opf_case2000_tamu.m
ipopt
DCP
[warn | PowerModels]: reversing the orientation of branch 40 (1071, 1019) to be consistent with other parallel branches
[warn | PowerModels]: no active generators found at bus 6144, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 8070, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6273, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4096, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4098, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4138, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2084, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 5089, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 5023, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1049, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2005, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 3044, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 8060, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6271, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1081, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 5107, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 8033, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2104, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 7121, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2095, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 3043, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2006, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2056, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 8115, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 8047, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6272, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 8036, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 5035, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6007, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6259, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 7122, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 7284, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 3133, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4137, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1076, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4163, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 8152, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1059, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 8061, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 8051, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1057, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 8034, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1062, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 5066, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1048, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1077, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6052, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 8147, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 7034, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 7025, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 3087, updating to bus type from 2 to 1
