cases/pglib-opf/pglib_opf_case240_pserc.m
ipopt
DCP
[info | PowerModels]: removing 1 cost terms from generator 32: [2736.0187, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 29: [2539.5707, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 1: [2355.253, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 54: [1902.9025000000001, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 78: [2887.9314, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 81: [3352.9629, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 101: [2725.565, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 2: [1752.5739999999998, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 105: [2998.5739, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 109: [3221.1888000000004, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 74: [714.8098, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 41: [3600.8260999999998, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 132: [2733.8561, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 65: [3985.5613, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 51: [3655.7378999999996, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 53: [2312.7115, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 106: [2881.5976, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 119: [3224.7846000000004, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 27: [3943.5718, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 75: [1412.028, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 42: [3363.8878, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 33: [4305.455400000001, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 28: [2241.8634, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 50: [2259.9236, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 52: [2960.0546999999997, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 111: [3787.9273, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 63: [2718.6796, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 121: [1181.616, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 115: [3123.9418, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 141: [11436.5663, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 92: [3975.9127, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 88: [2004.8511, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 93: [1453.0331999999999, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 26: [2524.7027, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 10: [3124.2137, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 120: [2438.896, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 77: [3292.0521, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 24: [1986.3282000000002, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 87: [4837.5219, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 117: [2440.5861, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 58: [11146.8783, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 25: [2821.6009, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 114: [3779.3235000000004, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 23: [4986.0247, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 49: [911.6809, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 59: [3736.4330000000004, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 5: [716.4105000000001, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 31: [2944.7095999999997, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 89: [1358.1555, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 62: [1800.9089, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 43: [6029.5192, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 122: [2985.2868, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 90: [3158.4790000000003, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 39: [1738.6500999999998, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 143: [2494.8779, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 112: [3363.4935, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 34: [2195.488, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 44: [11578.4252, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 129: [2045.6741000000002, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 137: [4333.0859, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 94: [1513.6833, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 55: [2662.8665, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 86: [3179.9668, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 126: [2693.5133, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 17: [2563.009, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 99: [4149.2611, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 71: [4011.1583000000005, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 37: [3273.8635000000004, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 47: [4062.684, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 9: [1995.2184, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 73: [2960.4602, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 82: [1414.8633, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 12: [2838.3968, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 79: [779.5262, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 20: [1150.831, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 6: [3243.6957999999995, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 142: [2414.915, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 84: [2315.3973, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 80: [1449.579, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 104: [1178.6936, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 124: [10269.8216, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 125: [2370.7527, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 98: [1548.6578, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 113: [3010.7834000000003, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 110: [10510.465600000001, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 70: [5864.0953, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 14: [769.8014, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 127: [1926.6400999999998, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 7: [3115.6469, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 96: [1438.957, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 57: [1975.5158000000001, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 123: [2825.2173, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 8: [2273.7499, 0.0]
[info | PowerModels]: removing 1 cost terms from generator 140: [2521.5164999999997, 0.0]
[info | PowerModels]: removing 3 cost terms from generator 64: Float64[]
