cases/pglib-opf/pglib_opf_case2868_rte.m
knitro
ACT
[warn | PowerModels]: no active generators found at bus 2491, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2509, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 21, updating to bus type from 1 to 2
[warn | PowerModels]: active generators found at bus 1220, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 2453, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2312, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 731, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 962, updating to bus type from 1 to 2
[warn | PowerModels]: active generators found at bus 1398, updating to bus type from 1 to 2
[warn | PowerModels]: active generators found at bus 1181, updating to bus type from 1 to 2
[warn | PowerModels]: active generators found at bus 958, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 513, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 1655, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 2490, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 1280, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 184, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 2754, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 2458, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 1160, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 2484, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 564, updating to bus type from 1 to 2
[warn | PowerModels]: active generators found at bus 773, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 749, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 300, updating to bus type from 1 to 2
[warn | PowerModels]: no active generators found at bus 2715, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 460, updating to bus type from 2 to 1
[warn | PowerModels]: active generators found at bus 1456, updating to bus type from 1 to 2
